title,series,author,rating,pages,publishDate,numRatings,category
The Story of Awkward,N/A,R.K. Ryals (Goodreads Author),3.76,265,2014-04-11,3040,Blank of Blank
The Empress's Tomb,Kiki Strike #2,Kirsten Miller (Goodreads Author),4.15,369,2007-10-02,3039,The Adjective Noun
Barsoom Series,Barsoom #1-5,Edgar Rice Burroughs,3.94,,Appeix N66 books — 26 voterse Awesome Sci-Fi Li265 books — 5 voters,3039,None
Doctor Who: The Feast of the Drowned,Doctor Who: New Series Adventures #8,Stephen Cole,3.68,256,2006-04-13,3037,Blank of Blank
The Neutronium Alchemist 1: Consolidation,"Night's Dawn #2, Part 1 of 2",Peter F. Hamilton (Goodreads Author),4.34,608,1998-04-01,3035,None
Mark of the Plague,The Blackthorn Key #2,Kevin Sands (Goodreads Author),4.42,534,2016-09-06,3035,Blank of Blank
Harlequin Valentine,Neil Gaiman's Telling Tales,"Neil Gaiman (Goodreads Author), John Bolton (Illustrator)",3.78,40,2001-02-29,3035,None
The Stone Heart,The Nameless City #2,"Faith Erin Hicks (Goodreads Author), Jordie Bellaire (Colorist)",4.19,240,2017-04-04,3032,The Adjective Noun
Schild's Ladder,N/A,Greg Egan,3.93,352,2004-01-01,3031,None
Dangerous Girls,Dangerous Girls #1,R.L. Stine (Goodreads Author),3.75,320,2004-08-10,3031,None
Hunted by the Others,H&W Investigations #1,Jess Haines (Goodreads Author),3.59,337,2010-05-01,3031,None
The Queen Is Dead,The Immortal Empire #2,Kate Locke (Goodreads Author),4.10,333,2013-02-05,3028,None
Sacrifice,The Chosen #3,Denise Grover Swank (Goodreads Author),4.18,406,2012-03-23,3028,One Word
The Past and Other Things That Should Stay Buried,N/A,Shaun David Hutchinson (Goodreads Author),3.61,304,2019-02-19,3027,Blank and Blank
Rises The Night,The Gardella Vampire Hunters #2,Colleen Gleason (Goodreads Author),4.04,343,2007-06-05,3027,None
Rejar,Matrix of Destiny #2,Dara Joy,4.07,390,1999-04-01,3025,One Word
Edgewood,Edgewood #1,Karen McQuestion (Goodreads Author),3.87,324,2022-09-12,3022,One Word
Kildar,Paladin of Shadows #2,John Ringo,4.17,496,2007-05-22,3021,One Word
Ironhand,Stoneheart Trilogy #2,Charlie Fletcher (Goodreads Author),3.96,448,2008-05-01,3021,One Word
Soulstice,The Devouring #2,Simon Holt,4.15,266,2009-08-19,3019,One Word
The God Eaters,N/A,Jesse Hajicek,4.10,452,2006-08-02,3018,The Adjective Noun
Evna,Ravneringene #3,Siri Pettersen (Goodreads Author),4.40,500,2015-10-28,3018,One Word
Sign of Seven trilogy,Sign of Seven #1-3,Nora Roberts (Goodreads Author),4.45,1 page,2009-03-31,3018,Blank of Blank
Pennyroyal Academy,Pennyroyal Academy #1,M.A. Larson (Goodreads Author),3.81,320,2014-10-07,3018,None
All the Stars in the Sky,Until the End of the World #3,Sarah Lyons Fleming (Goodreads Author),4.58,,"Be Zombie Books1,406 books — 3,004 votersZombie Books Wi rong Female Characters166 books — 87 voters",3016,None
Mustache Baby,Mustache Baby #1,"Bridget Heos (Goodreads Author), Joy Ang (Goodreads Author) (Illustrator)",4.22,40,2013-05-14,3015,None
The Imaginary,N/A,"A.F. Harrold, Emily Gravett (Illustrator)",4.03,224,2014-10-23,3015,The One Word
Druids,Druids #1,Morgan Llywelyn,4.03,480,2006-04-25,3013,One Word
Caine Black Knife,The Acts of Caine #3,Matthew Woodring Stover,4.06,343,2008-10-14,3012,None
Once Upon the End,Half Upon a Time #3,James Riley (Goodreads Author),4.45,384,2013-05-07,3012,None
Nijigahara Holograph,N/A,"Inio Asano, Matt Thorn (Goodreads Author) (Translator)",3.72,300,2014-03-19,3011,None
"Chibi Vampire, Vol. 02",Chibi Vampire #2,Yuna Kagesaki,4.17,176,2006-08-08,3011,None
The Friday Society,N/A,Adrienne Kress (Goodreads Author),3.49,440,2012-12-06,3011,The Adjective Noun
Parzival,N/A,"Wolfram von Eschenbach, A.T. Hatto (Translator)",3.79,448,1980-08-28,3010,One Word
Dark Defender,Paladins of Darkness #2,Alexis Morgan (Goodreads Author),4.11,338,2006-11-28,3010,None
The List of Seven,The List of Seven #1,Mark Frost (Goodreads Author),3.93,416,1994-09-01,3009,Blank of Blank
Explorer,Foreigner #6,C.J. Cherryh (Goodreads Author),4.29,528,2003-11-04,3007,One Word
The Sword,Sons of Destiny #1,Jean Johnson (Goodreads Author),3.90,313,2007-02-06,3007,The One Word
The Triple Goddess,Afterlife Saga #3,Stephanie Hudson,4.48,,Published,3006,The Adjective Noun
Restoration,The Revelation #5,Randi Cooley Wilson (Goodreads Author),4.38,350,2015-11-28,3006,One Word
The Forever King,Forever King #1,Molly Cochran,3.99,368,2012-06-26,3006,The Adjective Noun
"Pandora Hearts, Volume 9",Pandora Hearts #9,Jun Mochizuki,4.51,178,1905-07-01,3006,None
Orlando Furioso,N/A,"Ludovico Ariosto, Guido Waldman (Translator)",4.03,656,1999-01-28,3003,None
Professor Dowell's Head,N/A,"Alexander Belyaev, Antonina W. Bouis (Translator), Theodore Sturgeon (Introduction)",4.08,157,1980-09-04,3003,Blank of Blank
Halflings,Halflings #1,Heather Burch (Goodreads Author),3.73,288,2012-02-01,3003,One Word
Ironhand's Daughter,The Hawk Queen #1,David Gemmell,3.93,347,2004-11-23,3000,None
Going Down in Flames,Going Down in Flames #1,Chris Cannon (Goodreads Author),4.09,407,2014-06-30,3000,None
Thick & Thin,THIRDS #8,Charlie Cochet (Goodreads Author),4.14,108,2020-01-16,3000,None
The Rise of Skywalker,Star Wars Disney Canon Novel #9,Rae Carson,3.92,247,2020-03-17,2998,Blank of Blank
In the Garden Collection,In the Garden #1-3,Nora Roberts (Goodreads Author),4.42,,2006-10-31,2998,None
Piratica: Being a Daring Tale of a Singular Girl's Adventure Upon the High Seas,Piratica #1,Tanith Lee,3.63,288,2004-09-23,2997,Blank of Blank
Last Sword of Power,Stones of Power #2,David Gemmell,4.02,310,2011-06-08,2997,Blank of Blank
The Third Eye,N/A,T. Lobsang Rampa,3.96,224,1986-06-12,2996,The Adjective Noun
The Ugly Little Boy,N/A,"Isaac Asimov, Robert Silverberg",3.87,387,1993-08-01,2995,None
Memoirs Found in a Bathtub,N/A,"Stanisław Lem, Christine Rose (translator), Michael Kandel (Translator)",3.78,204,1986-07-23,2994,None
The Eternal War,TimeRiders #4,Alex Scarrow (Goodreads Author),4.06,448,2011-07-14,2993,The Adjective Noun
The Coincidence Makers,N/A,Yoav Blum (Goodreads Author),3.85,291,2018-03-06,2993,The Adjective Noun
On Fortune's Wheel,Tales of the Kingdom #2,Cynthia Voigt (Goodreads Author),4.09,402,1999-10-01,2993,None
El libro de Jade,Saga Vanir #1,Lena Valenti,3.91,555,2010-01-02,2991,None
The Book of Dead Days,Book of Dead Days #1,Marcus Sedgwick (Goodreads Author),3.57,273,2006-04-11,2991,Blank of Blank
"Invincible: Ultimate Collection, Vol. 2",Invincible Ultimate Collection #2,"Robert Kirkman, Ryan Ottley (Illustrator), Todd Nauck (Illustrator), Khary Randolph (Illustrator), Cory Walker (Illustrator), Matthew Roberts (Illustrator), Joshua Luna (Illustrator), Damon Lindelof (Introduction)",4.32,352,2006-06-01,2991,None
The Red Tree,N/A,Caitlín R. Kiernan,3.67,385,2009-08-04,2989,The Adjective Noun
Minoes,N/A,"Annie M.G. Schmidt, Carl Hollander (Illustrator)",3.99,199,2022-07-07,2988,One Word
Raintree: Inferno,Raintree #1,Linda Howard,3.66,280,2007-04-24,2988,None
The Sanctuary,N/A,Ted Dekker (Goodreads Author),3.87,403,2012-10-30,2987,The One Word
O Medo do Homem Sábio - Parte 1,"The Kingkiller Chronicle #2, Part 1 of 2","Patrick Rothfuss (Goodreads Author), Renato Carreira (Goodreads Author) (Translator)",4.52,703,2011-09-21,2986,None
Hunting Julian,Gatherers #1,Jacquelyn Frank (Goodreads Author),3.87,332,2010-01-01,2986,None
The Vintner's Luck,Vintner's Luck #1,Elizabeth Knox (Goodreads Author),3.87,284,2000-08-05,2984,The Adjective Noun
Death of a Darklord,Ravenloft #13,Laurell K. Hamilton (Goodreads Author),3.43,306,2006-07-11,2984,Blank of Blank
The Death of the Necromancer,Ile-Rien #2,Martha Wells (Goodreads Author),4.04,544,1999-07-01,2984,Blank of Blank
Carniepunk,Hell on Earth #4.7,"Rachel Caine (Goodreads Author), Rob Thurman (Goodreads Author), Delilah S. Dawson (Goodreads Author), Kevin Hearne (Goodreads Author), Mark Henry (Goodreads Author), Jaye Wells (Goodreads Author), Allison Pang (Goodreads Author), Hillary Jacques (Goodreads Author), more…",3.65,440,2013-07-23,2984,One Word
The Forbidden Tower,Darkover - Publication Order #11,Marion Zimmer Bradley,4.06,365,1977-09-20,2983,The Adjective Noun
"Fables: The Deluxe Edition, Book Three",Fables: The Deluxe Edition #3,"Bill Willingham (Goodreads Author) (Writer), Mark Buckingham (Artist), Steve Leialoha (Artist), Tony Akins (Artist), Jimmy Palmiotti (Artist), Daniel Vozzo (Colourist), Todd Klein (Letterer), James Jean (Cover Artist)",4.42,232,2011-08-23,2983,None
Without Warning,The Disappearance #1,John Birmingham (Goodreads Author),3.76,516,2009-02-03,2981,None
The Complete Wheel of Time,The Wheel of Time #omnibus,"Robert Jordan, Brandon Sanderson (Goodreads Author)",4.61,11095,2022-05-14,2979,Blank of Blank
Redemption,Redemption #1,"R.K. Ryals (Goodreads Author), Melanie Bruce (Editor)",3.95,322,2011-09-26,2979,One Word
God Is Dead,N/A,Ron Currie Jr. (Goodreads Author),3.75,182,2007-07-05,2976,None
Moonlight and Vines,Newford #6,Charles de Lint (Goodreads Author),4.19,384,2005-12-27,2975,Blank and Blank
Stitches in Time,Georgetown #3,Barbara Michaels,3.94,387,1998-12-09,2974,None
The Other Life,The Other Life #1,Susanne Winnacker (Goodreads Author),3.67,315,2012-02-01,2973,The Adjective Noun
Ain't Myth-Behaving,N/A,Katie MacAlister (Goodreads Author),3.69,353,2007-09-25,2972,None
The Stranger,N/A,Chris Van Allsburg,4.09,32,1986-10-28,2971,The One Word
Whisper of Death,N/A,Christopher Pike,3.79,180,1991-12-01,2970,Blank of Blank
Creatures of Forever,The Last Vampire #6,Christopher Pike,3.93,181,1996-09-01,2969,Blank of Blank
Betrayal,The Descendants #1,Mayandree Michel,3.55,603,2011-03-28,2968,One Word
Where Dreams Descend,Kingdom of Cards #1,Janella Angeles (Goodreads Author),3.77,464,2020-08-25,2967,None
Vlad: The Last Confession,N/A,"C.C. Humphreys (Goodreads Author), Chris Humphreys",3.87,366,2008-09-25,2966,None
Seven Tears Into the Sea,N/A,Terri Farley (Goodreads Author),3.80,279,2022-04-05,2965,None
Reborn Yesterday,Phenomenal Fate #1,Tessa Bailey (Goodreads Author),3.73,382,2020-03-17,2965,None
Efrâsiyâb'ın Hikâyeleri,N/A,İhsan Oktay Anar,4.14,245,1998-02-01,2965,None
Spirits in the Wires,Newford #10,Charles de Lint (Goodreads Author),4.01,448,2004-09-01,2965,None
The Hollow Man,N/A,Dan Simmons,3.46,342,1993-09-01,2964,The Adjective Noun
Bear,N/A,Marian Engel,3.48,167,1978-09-01,2964,One Word
The Presence,Harrison Investigation #2,Heather Graham (Goodreads Author),4.00,432,2004-08-25,2963,The One Word
The Crossing of Ingo,Ingo #4,Helen Dunmore,4.11,320,2008-05-05,2961,Blank of Blank
"Attack on Titan: Before the Fall, Vol. 1",漫画 進撃の巨人 Before the Fall / Attack on Titan: Before the Fall Manga #1,"Hajime Isayama (Original Author), Satoshi Shiki, Ryo Suzukaze (Writer)",4.13,193,2014-03-11,2959,None
Save Me - BTS Webtoon,The Most Beautiful Moment in Life #0,"Big Hit Entertainment, Lico (Illustrator)",4.63,300,2019-01-17,2958,None
The Heart of a Warrior,Warriors Manga: Ravenpaw's Path #3,"Erin Hunter, Dan Jolley (Goodreads Author), James L. Barry (Illustrator)",4.27,90,2010-08-03,2957,Blank of Blank
Skippyjon Jones and the Big Bones,Skippyjon Jones,Judy Schachner,4.16,32,2007-10-18,2957,Blank and Blank
The Interludes,In the Company of Shadows #3,"Ais (Goodreads Author), Santino Hassell (Goodreads Author)",4.48,913,1905-07-02,2955,The One Word
Dragon and Thief,Dragonback #1,Timothy Zahn (Goodreads Author),4.01,256,2004-03-01,2955,Blank and Blank
Beauty and the Beast: The Only One Who Didn't Run Away,Twice Upon a Time #3,Wendy Mass (Goodreads Author),4.03,288,2012-06-01,2954,Blank and Blank
The Tombs of Anak,The Cooper Kids Adventures #3,Frank E. Peretti,4.03,144,2004-07-14,2954,Blank of Blank
Bad Magic,Bad #1,Pseudonymous Bosch (Goodreads Author),4.13,400,2014-09-16,2953,None
The Kestrel,Westmark #2,Lloyd Alexander,3.99,244,2002-06-10,2953,The One Word
Creed,N/A,James Herbert,3.70,376,Published,2952,One Word
The Hunted,Vampire Huntress #3,L.A. Banks,4.15,565,2005-06-13,2951,The One Word
Tears of a Dragon,Dragons in Our Midst #4,Bryan Davis (Goodreads Author),4.24,384,2005-10-28,2949,Blank of Blank
The Philip K. Dick Reader,N/A,Philip K. Dick,4.28,422,2001-04-01,2949,None
The More I See You,de Piaget #7,Lynn Kurland,4.29,400,1999-10-01,2949,None
The Apocalypse of Elena Mendoza,N/A,Shaun David Hutchinson (Goodreads Author),3.65,438,2018-02-06,2948,Blank of Blank
The Nameless City,N/A,H.P. Lovecraft,3.64,23,2009-04-19,2948,The Adjective Noun
Places No One Knows,N/A,Brenna Yovanoff (Goodreads Author),3.74,373,2016-05-17,2948,None
Leprechaun in Late Winter,Magic Tree House #43,"Mary Pope Osborne, Salvatore Murdocca (Illustrator)",4.09,128,2010-01-12,2948,None
Kłamca,Kłamca #1,Jakub Ćwiek,3.74,272,2005-11-23,2945,One Word
Craved,Gwen Sparks #1,Stephanie Nelson (Goodreads Author),3.71,247,2011-07-01,2944,One Word
The Hunt for the Seventh,N/A,Christine Morton-Shaw (Goodreads Author),3.95,273,2008-09-30,2943,None
The Reckoning,The Taker Trilogy #2,Alma Katsu (Goodreads Author),4.03,346,2012-06-19,2942,The One Word
The White Tree,The Cycle of Arawn #1,Edward W. Robertson (Goodreads Author),3.70,428,2011-02-15,2942,The Adjective Noun
Pollen,Vurt #2,Jeff Noon,3.95,336,2012-10-25,2941,One Word
Sati,N/A,Christopher Pike,3.84,276,1991-07-15,2939,One Word
"The Arabian Nights: Tales of 1001 Nights, Volume 1 of 3",N/A,"Anonymous ., Malcolm C. Lyons (Translator), Ursula Lyons (Translator), Robert Irwin (Introduction)",4.04,982,2010-02-04,2938,Blank of Blank
Circles in the Stream,Avalon: Web of Magic #1,Rachel Roberts (Goodreads Author),4.08,175,2007-08-15,2938,None
Intervention,Intervention #1-2,Julian May,4.25,673,1988-08-01,2937,One Word
The Palace of Dreams,N/A,Ismail Kadare,3.97,205,1998-02-05,2937,Blank of Blank
Always Coming Home,N/A,"Ursula K. Le Guin, Todd Barton (Composer), Margaret Chodos-Irvine (Illustrator)",4.02,525,2001-02-27,2937,None
Fire from Within,The Teachings of Don Juan #7,Carlos Castañeda,4.15,304,1991-01-01,2936,None
The World of Ptavvs,Known Space,Larry Niven,3.83,188,2000-04-01,2935,Blank of Blank
"Tokyo Crazy Paradise, Vol. 1",Tokyo Crazy Paradise #1,Yoshiki Nakamura,4.37,186,1996-12-25,2935,None
The Rising,Department 19 #2,Will Hill (Goodreads Author),4.34,608,2012-08-16,2935,The One Word
A Batalha do Apocalipse,N/A,Eduardo Spohr,4.14,569,1905-06-29,2932,None
"Alice 19th, Volume 2",Alice 19th #2,"Yuu Watase, Annette Schalkers (Translator)",4.07,191,2022-02-05,2931,None
Shards of Time,Nightrunner #7,Lynn Flewelling (Goodreads Author),4.28,409,2014-04-01,2930,Blank of Blank
Vampire$,N/A,John Steakley,3.77,368,1992-05-05,2928,One Word
La princesa que creía en los cuentos de hadas,N/A,"Marcia Grad, Elena Lampérez Sánchez (Translator)",3.70,223,1998-04-01,2926,None
A Sky of Spells,The Sorcerer's Ring #9,Morgan Rice (Goodreads Author),3.72,234,2013-11-07,2925,Blank of Blank
Mona Lisa Blossoming,Monère: Children of the Moon #2,Sunny,4.00,246,2007-02-06,2924,None
The Vampire Hunter's Daughter,The Vampire Hunter's Daughter #1,Jennifer Malone Wright (Goodreads Author),3.68,50,2011-08-10,2924,None
Witch World,Witch World #1,Christopher Pike,3.60,528,2012-11-13,2923,None
Master of Swords,Mageverse #4,Angela Knight,4.19,294,2006-10-03,2923,Blank of Blank
Aftershock,H.I.V.E. #7,Mark Walden (Goodreads Author),4.33,278,2011-08-01,2922,One Word
An Accidental Goddess,N/A,"Linnea Sinclair (Goodreads Author), Megan Sybil Baker",3.95,434,2005-12-27,2919,None
Faerie Lord,The Faerie Wars Chronicles #4,Herbie Brennan (Goodreads Author),3.95,430,2008-01-01,2919,None
Doctor Sax,Duluoz Legend,Jack Kerouac,3.41,245,Published,2918,None
Lichgates,The Grimoire Saga #1,S.M. Boyce (Goodreads Author),3.89,414,2011-10-15,2916,One Word
The MaddAddam Trilogy: Oryx and Crake / The Year of the Flood / MaddAddam,MaddAddam #1-3,Margaret Atwood (Goodreads Author),4.51,1181,2013-08-27,2914,Blank of Blank
The Silver Crown,N/A,Robert C. O'Brien,3.94,322,2004-05-25,2914,The Adjective Noun
Mind Fuck,The Administration #1,Manna Francis (Goodreads Author),3.95,264,2007-10-29,2911,None
Finch,Ambergris #3,Jeff VanderMeer (Goodreads Author),3.97,320,2009-11-03,2910,One Word
A Chance for Charity,The Immortal Ones #1,S.L. Baum (Goodreads Author),3.61,260,2010-06-04,2910,None
"Nausicaä of the Valley of the Wind, Vol. 2",Nausicaä of the Valley of the Wind #2,"Hayao Miyazaki (Scriptwriter/Illustrator), David Lewis (Translator), Toren Smith (Translator), Kaori Inoue (Translator), Joe Yamazaki (Translator), Walden Wong (Touch-up Artist/ Letterer), Izumi Evers (Designer)",4.52,130,2004-03-31,2908,Blank of Blank
"Tsubasa: RESERVoir CHRoNiCLE, Vol. 10",Tsubasa: RESERVoir CHRoNiCLE #10,"CLAMP, William Flanagan (Translator)",4.29,184,2006-07-25,2908,None
Spirit Prophecy,The Gateway Trilogy #2,E.E. Holmes (Goodreads Author),4.46,378,2014-08-12,2908,None
Liebe geht durch alle Zeiten,Edelstein-Trilogie #1-3,Kerstin Gier,4.46,1248,2022-06-12,2907,None
The Lighthouse at the End of the World,N/A,Jules Verne,3.64,260,2001-03-20,2907,Blank of Blank
The Box of Delights,Kay Harker #2,"John Masefield, Judith Masefield (Illustrator)",3.95,296,2007-10-23,2903,Blank of Blank
The Virtu,Doctrine of Labyrinths #2,Sarah Monette (Goodreads Author),4.01,439,2006-06-27,2903,The One Word
Witch,N/A,Christopher Pike,3.72,225,2001-07-31,2903,One Word
"Tsubasa: RESERVoir CHRoNiCLE, Vol. 14",Tsubasa: RESERVoir CHRoNiCLE #14,"CLAMP, William Flanagan (Translator)",4.35,185,2007-07-31,2901,None
The Ultimates 2: Ultimate Collection,The Ultimates (Collected Editions) #3-4,"Mark Millar (Goodreads Author), Bryan Hitch (Illustrator), Paul Neary (Inks), Steve Dillon (Illustrator)",4.11,464,2007-12-26,2901,None
The Broken Crown,The Sun Sword #1,Michelle West,3.93,764,1997-07-01,2899,The Adjective Noun
Beneath a Rising Moon,Ripple Creek Werewolf #1,Keri Arthur (Goodreads Author),4.01,248,2003-06-05,2898,None
Evenfall: Volume 1: Director's Cut,In the Company of Shadows #1 part 1,"Ais (Goodreads Author), Santino Hassell (Goodreads Author)",4.22,334,2014-06-02,2897,None
The Gorgon's Gaze,The Companions Quartet #2,Julia Golding (Goodreads Author),4.08,320,1905-06-29,2897,The Adjective Noun
God on a Harley,N/A,Joan Brady,3.88,147,1996-07-01,2896,None
People of the Lakes,North America's Forgotten Past #6,"Kathleen O'Neal Gear (Goodreads Author), W. Michael Gear",4.28,816,1995-06-01,2894,Blank of Blank
The Warrior,Brotherhood of the Sword & MacAllister #7,Kinley MacGregor,4.07,344,2007-11-27,2893,The One Word
Hunter's Run,N/A,"George R.R. Martin, Gardner Dozois, Daniel Abraham",3.63,320,2008-01-08,2892,None
The Unmapped Sea,The Incorrigible Children of Ashton Place #5,"Maryrose Wood (Goodreads Author), Eliza Wheeler (Goodreads Author) (Illustrator)",4.24,421,2015-04-21,2892,The Adjective Noun
"THE TROUBLE BEGINS : A Box of Unfortunate Events, Books 1-3",A Series of Unfortunate Events #1-3,"Lemony Snicket (Goodreads Author), Brett Helquist",4.05,592,2001-10-02,2892,Blank of Blank
The Cloak Society,The Cloak Society #1,Jeramey Kraatz (Goodreads Author),4.15,288,2012-10-02,2891,The Adjective Noun
Clockwork Angels,Clockwork Angels #1,"Kevin J. Anderson (Goodreads Author), Neil Peart",3.68,315,2012-09-01,2888,None
A Handful of Time,N/A,Kit Pearson,4.15,208,2003-08-31,2888,Blank of Blank
For the Fallen,Zombie Fallout #7,Mark Tufo (Goodreads Author),4.47,372,2013-10-07,2888,None
Best Ghost Stories of Algernon Blackwood,N/A,"Algernon Blackwood, E.F. Bleiler (Introduction)",4.17,366,1973-06-01,2887,Blank of Blank
The Ring of Earth,Young Samurai #4,Chris Bradford (Goodreads Author),4.41,336,2010-08-05,2886,Blank of Blank
Theodosia and the Eyes of Horus,Theodosia Throckmorton #3,R.L. LaFevers (Goodreads Author),4.13,375,2010-04-12,2884,Blank of Blank
The Battle Sylph,Sylph #1,L.J. McDonald (Goodreads Author),3.63,323,2010-03-01,2883,The Adjective Noun
Fanny's Dream,N/A,"Caralyn Buehner, Mark Buehner",4.28,32,2003-06-23,2882,None
The Rise of Renegade X,Renegade X #1,Chelsea M. Campbell (Goodreads Author),3.89,352,2010-05-11,2882,Blank of Blank
On the Edge of Gone,N/A,Corinne Duyvis (Goodreads Author),3.93,456,2016-03-08,2881,Blank of Blank
Blanca & Roja,N/A,Anna-Marie McLemore (Goodreads Author),3.80,375,2018-10-09,2880,None
The Immortal Collection,A Saga of the Ancient Family #1,"Eva García Sáenz (Goodreads Author), Lilit Zekulin Thwaites (Translation)",3.99,670,2014-04-08,2879,The Adjective Noun
The Family Tree,N/A,Sheri S. Tepper,4.01,496,1998-05-01,2879,The Adjective Noun
Vampire: The Masquerade Revised,Vampire: the Masquerade,"Mark Rein-Hagen (Creator), Phil Brucato, Andrew Bates",4.05,312,1998-10-01,2878,None
Neverland,Adventures in Neverland #1,Anna Katmore,3.96,299,2014-04-10,2877,One Word
"Conan, Vol. 1: The Frost Giant's Daughter and Other Stories",Conan: Dark Horse Comics #1,"Kurt Busiek, Cary Nord (Illustrator), Tom Yeates (Illustrator)",4.22,192,2005-04-12,2877,Blank and Blank
Double Helix,N/A,Nancy Werlin (Goodreads Author),3.52,250,2005-05-05,2876,None
The Selection Series 1-5 Book Set (The Selection #1-5),N/A,Kiera Cass (Goodreads Author),4.52,1696,2016-10-24,2873,None
The Last Praetorian,The Redemption Trilogy #1,Mike Smith (Goodreads Author),3.72,326,2012-11-01,2873,The Adjective Noun
Eight Days of Luke,N/A,Diana Wynne Jones,3.89,226,2003-02-18,2872,Blank of Blank
Legacy,N/A,Susan Kay,4.13,647,1987-04-28,2871,One Word
Sweet,Sweet #1,Emmy Laybourne (Goodreads Author),3.62,272,2015-06-02,2871,One Word
Psychic's Spell,Legion of Angels #6,Ella Summers (Goodreads Author),4.51,380,2018-04-02,2870,None
The Hunted,The Enemy #6,Charlie Higson,4.50,440,2014-09-04,2868,The One Word
Demon Angel,The Guardians #1,Meljean Brook,3.53,432,2008-01-02,2866,None
House of Echoes,N/A,Barbara Erskine,4.07,528,1996-11-11,2864,Blank of Blank
Vampire in Atlantis,Warriors Of Poseidon #7,Alyssa Day (Goodreads Author),4.25,311,2011-06-07,2863,None
Children of the New World,N/A,Alexander Weinstein,3.78,229,2016-09-13,2863,Blank of Blank
"Tsubasa: RESERVoir CHRoNiCLE, Vol. 11",Tsubasa: RESERVoir CHRoNiCLE #11,"CLAMP, William Flanagan (Translator)",4.27,183,2006-10-31,2862,None
Manalive,N/A,G.K. Chesterton,4.19,142,2012-05-16,2862,One Word
Toothiana: Queen of the Tooth Fairy Armies,The Guardians #3,William Joyce (Goodreads Author),4.21,226,2012-10-02,2860,Blank of Blank
Oblivion,Nevermore #3,Kelly Creagh (Goodreads Author),4.09,448,2015-07-28,2859,One Word
When Blood Calls,The Shadow Keepers #1,"J.K. Beck, Julie Kenner (Goodreads Author)",3.71,388,2010-08-31,2858,None
Atlantis Betrayed,Warriors Of Poseidon #6,Alyssa Day (Goodreads Author),4.26,290,2010-09-07,2857,None
The Book of Spells,Private #0.5,Kate Brian,3.79,302,2010-12-21,2856,Blank of Blank
Evil Librarian,Evil Librarian #1,Michelle Knudsen (Goodreads Author),3.59,352,2016-09-13,2855,None
Running Scared,Sentinel Wars #3,Shannon K. Butcher (Goodreads Author),4.13,373,2010-05-04,2855,None
Savor,Warm Delicacy #1,Megan Duncan (Goodreads Author),3.71,284,2011-10-01,2855,One Word
UnBound,Unwind Dystology #4.5,"Neal Shusterman (Goodreads Author), Michelle Knowlden, Jarrod Shusterman, Terry Black (Goodreads Author), Brendan Shusterman",4.25,305,2015-12-15,2854,One Word
Downpour,Greywalker #6,Kat Richardson (Goodreads Author),3.93,368,2011-08-01,2853,One Word
Love Minus Eighty,N/A,Will McIntosh (Goodreads Author),3.81,432,2013-06-11,2853,None
Poison's Kiss,Deadly Beauties #2,C.M. Owens (Goodreads Author),4.46,253,2014-03-28,2852,None
"Blackbird, Vol. 1",Blackbird #1-6,"Sam Humphries, Jen Bartel (Artist), Triona Farrell (Colourist)",3.64,168,2019-05-14,2850,None
The Fire Dragon,Deverry #11,Katharine Kerr (Goodreads Author),4.12,435,1905-06-23,2850,The Adjective Noun
Lady of the Forest,Sherwood #1,Jennifer Roberson (Goodreads Author),3.86,608,1995-04-01,2850,Blank of Blank
Thomas's Choice,Scanguards Vampires #8,Tina Folsom (Goodreads Author),4.26,290,2013-10-05,2849,None
The Infernal Desire Machines of Doctor Hoffman,N/A,Angela Carter,3.78,221,1986-03-04,2848,Blank of Blank
Dark Mirror,Dark Mirror #1,M.J. Putney,3.70,304,2022-03-11,2848,None
The Devil's Labyrinth,N/A,John Saul,3.47,352,2007-07-17,2847,The Adjective Noun
Dark Whispers,The Unicorn Chronicles #3,Bruce Coville,4.15,480,2022-07-08,2845,None
Jake Ransom and the Skull King's Shadow,Jake Ransom #1,James Rollins (Goodreads Author),3.89,416,2009-04-28,2845,Blank and Blank
Forged by Desire,London Steampunk #4,Bec McMaster (Goodreads Author),4.04,436,2014-09-02,2843,None
Swift as Desire,N/A,Laura Esquivel,3.60,208,2002-08-27,2842,None
Dead City,Dead City #1,James Ponti (Goodreads Author),4.26,288,2012-10-02,2841,None
The Curiosities: A Collection of Stories,The Curiosities #1,"Maggie Stiefvater (Goodreads Author), Brenna Yovanoff (Goodreads Author), Tessa Gratton (Goodreads Author)",4.11,304,2012-08-01,2838,Blank of Blank
Loop,Ring #3,"Kōji Suzuki, Glynne Walley (Translator)",3.59,283,2006-10-03,2837,One Word
Penelope,N/A,"Marilyn Kaye, Reese Witherspoon (Introduction)",3.82,230,2007-03-20,2835,One Word
Linked,Linked #1,Imogen Howson (Goodreads Author),3.69,368,2013-06-11,2835,One Word
Long Division,N/A,Kiese Laymon (Goodreads Author),3.84,276,2013-06-11,2834,None
Peta yang Hilang,Ulysses Moore #2,"Pierdomenico Baccalario (Author), Barokah Ruziati (Translator)",4.01,262,1905-06-30,2832,None
